"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Pirates","PIT","2015","6285","4413",0.26,0.25,0.010000000000000009,0.396,0.401,-0.0050000000000000044,0.313,0.316,-0.0030000000000000027
"D-backs","AZ","2015","6275","4440",0.264,0.248,0.016000000000000014,0.414,0.391,0.022999999999999965,0.319,0.31,0.009000000000000008
"Yankees","NYY","2015","6264","4418",0.251,0.245,0.006000000000000005,0.421,0.396,0.024999999999999967,0.323,0.318,0.0050000000000000044
"Red Sox","BOS","2015","6236","4564",0.265,0.246,0.019000000000000017,0.415,0.384,0.030999999999999972,0.321,0.308,0.013000000000000012
"Blue Jays","TOR","2015","6232","4457",0.269,0.256,0.013000000000000012,0.457,0.429,0.028000000000000025,0.344,0.334,0.009999999999999953
"Cubs","CHC","2015","6200","4040",0.244,0.231,0.012999999999999984,0.398,0.385,0.013000000000000012,0.313,0.307,0.006000000000000005
"Reds","CIN","2015","6196","4403",0.248,0.239,0.009000000000000008,0.394,0.373,0.02100000000000002,0.307,0.3,0.007000000000000006
"Rangers","TEX","2015","6187","4375",0.257,0.245,0.01200000000000001,0.413,0.397,0.01599999999999996,0.321,0.316,0.0050000000000000044
"Athletics","OAK","2015","6168","4533",0.251,0.241,0.010000000000000009,0.395,0.372,0.02300000000000002,0.308,0.301,0.007000000000000006
"Tigers","DET","2015","6159","4404",0.27,0.259,0.01100000000000001,0.42,0.419,0.0010000000000000009,0.324,0.323,0.0010000000000000009
"Giants","SF","2015","6153","4488",0.267,0.253,0.014000000000000012,0.406,0.396,0.010000000000000009,0.318,0.315,0.0030000000000000027
"Mets","NYM","2015","6144","4298",0.244,0.246,-0.0020000000000000018,0.4,0.4,0,0.309,0.314,-0.0050000000000000044
"Cardinals","STL","2015","6137","4298",0.253,0.245,0.008000000000000007,0.394,0.386,0.008000000000000007,0.311,0.31,0.0010000000000000009
"Mariners","SEA","2015","6131","4281",0.249,0.252,-0.0030000000000000027,0.411,0.42,-0.009000000000000008,0.313,0.323,-0.010000000000000009
"Nationals","WSH","2015","6117","4190",0.251,0.247,0.0040000000000000036,0.403,0.401,0.0020000000000000018,0.315,0.318,-0.0030000000000000027
"Royals","KC","2015","6116","4683",0.269,0.264,0.0050000000000000044,0.412,0.4,0.011999999999999955,0.318,0.318,0
"Guardians","CLE","2015","6108","4379",0.256,0.253,0.0030000000000000027,0.401,0.393,0.008000000000000007,0.315,0.317,-0.0020000000000000018
"Dodgers","LAD","2015","6088","4206",0.25,0.247,0.0030000000000000027,0.413,0.41,0.0030000000000000027,0.322,0.325,-0.0030000000000000027
"Astros","HOU","2015","6072","4138",0.25,0.237,0.013000000000000012,0.437,0.401,0.035999999999999976,0.325,0.311,0.014000000000000012
"Rockies","COL","2015","6071","4367",0.265,0.239,0.026000000000000023,0.432,0.378,0.05399999999999999,0.321,0.295,0.026000000000000023
"Rays","TB","2015","6071","4241",0.252,0.24,0.01200000000000001,0.406,0.386,0.020000000000000018,0.313,0.306,0.007000000000000006
"White Sox","CWS","2015","6069","4369",0.25,0.243,0.007000000000000006,0.38,0.358,0.02200000000000002,0.3,0.295,0.0050000000000000044
"Phillies","PHI","2015","6052","4337",0.249,0.242,0.007000000000000006,0.382,0.367,0.015000000000000013,0.298,0.295,0.0030000000000000027
"Braves","ATL","2015","6034","4411",0.251,0.246,0.0050000000000000044,0.359,0.362,-0.0030000000000000027,0.296,0.299,-0.0030000000000000027
"Brewers","MIL","2015","6022","4270",0.251,0.236,0.015000000000000013,0.393,0.372,0.02100000000000002,0.304,0.294,0.010000000000000009
"Twins","MIN","2015","6017","4274",0.247,0.236,0.01100000000000001,0.399,0.378,0.02100000000000002,0.305,0.298,0.007000000000000006
"Padres","SD","2015","6017","4224",0.243,0.231,0.011999999999999983,0.385,0.365,0.020000000000000018,0.298,0.291,0.007000000000000006
"Orioles","BAL","2015","6006","4206",0.25,0.241,0.009000000000000008,0.421,0.408,0.013000000000000012,0.315,0.311,0.0040000000000000036
"Marlins","MIA","2015","5988","4424",0.26,0.25,0.010000000000000009,0.384,0.375,0.009000000000000008,0.302,0.3,0.0020000000000000018
"Angels","LAA","2015","5987","4344",0.246,0.248,-0.0020000000000000018,0.396,0.396,0,0.305,0.311,-0.006000000000000005
