"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2018","6366","4322",0.258,0.244,0.014000000000000012,0.41,0.394,0.01599999999999996,0.321,0.315,0.006000000000000005
"Dodgers","LAD","2018","6358","4214",0.25,0.242,0.008000000000000007,0.442,0.424,0.018000000000000016,0.333,0.328,0.0050000000000000044
"Red Sox","BOS","2018","6302","4425",0.268,0.262,0.006000000000000005,0.453,0.449,0.0040000000000000036,0.34,0.34,0
"Guardians","CLE","2018","6298","4475",0.259,0.258,0.0010000000000000009,0.434,0.427,0.007000000000000006,0.33,0.332,-0.0020000000000000018
"Nationals","WSH","2018","6288","4309",0.254,0.249,0.0050000000000000044,0.419,0.414,0.0050000000000000044,0.325,0.325,0
"Yankees","NYY","2018","6271","4163",0.249,0.244,0.0050000000000000044,0.451,0.432,0.019000000000000017,0.335,0.331,0.0040000000000000036
"Athletics","OAK","2018","6255","4248",0.252,0.248,0.0040000000000000036,0.439,0.438,0.0010000000000000009,0.329,0.331,-0.0020000000000000018
"Braves","ATL","2018","6251","4384",0.257,0.245,0.01200000000000001,0.417,0.392,0.024999999999999967,0.319,0.31,0.009000000000000008
"Reds","CIN","2018","6240","4240",0.254,0.244,0.010000000000000009,0.401,0.388,0.013000000000000012,0.317,0.312,0.0050000000000000044
"Brewers","MIL","2018","6207","4154",0.252,0.242,0.010000000000000009,0.424,0.407,0.017000000000000015,0.322,0.316,0.006000000000000005
"Cardinals","STL","2018","6199","4212",0.249,0.243,0.006000000000000005,0.409,0.416,-0.007000000000000006,0.316,0.32,-0.0040000000000000036
"Rays","TB","2018","6194","4165",0.258,0.239,0.019000000000000017,0.406,0.377,0.029000000000000026,0.322,0.309,0.013000000000000012
"Rockies","COL","2018","6178","4223",0.256,0.241,0.015000000000000013,0.435,0.396,0.03899999999999998,0.325,0.309,0.016000000000000014
"Mets","NYM","2018","6177","4134",0.234,0.23,0.0040000000000000036,0.389,0.371,0.018000000000000016,0.305,0.301,0.0040000000000000036
"Rangers","TEX","2018","6163","4036",0.24,0.232,0.00799999999999998,0.404,0.392,0.01200000000000001,0.315,0.311,0.0040000000000000036
"D-backs","AZ","2018","6157","4083",0.235,0.235,0,0.397,0.393,0.0040000000000000036,0.306,0.309,-0.0030000000000000027
"Twins","MIN","2018","6154","4255",0.25,0.236,0.014000000000000012,0.405,0.389,0.016000000000000014,0.313,0.306,0.007000000000000006
"Astros","HOU","2018","6139","4315",0.255,0.241,0.014000000000000012,0.425,0.395,0.02999999999999997,0.327,0.314,0.013000000000000012
"Phillies","PHI","2018","6135","3968",0.234,0.227,0.007000000000000006,0.393,0.374,0.019000000000000017,0.307,0.302,0.0050000000000000044
"Giants","SF","2018","6113","4149",0.239,0.235,0.0040000000000000036,0.368,0.367,0.0010000000000000009,0.29,0.292,-0.0020000000000000018
"Angels","LAA","2018","6106","4218",0.242,0.244,-0.0020000000000000018,0.413,0.41,0.0030000000000000027,0.313,0.318,-0.0050000000000000044
"Mariners","SEA","2018","6084","4362",0.254,0.259,-0.0050000000000000044,0.408,0.418,-0.010000000000000009,0.313,0.323,-0.010000000000000009
"Marlins","MIA","2018","6080","4168",0.237,0.236,0.0010000000000000009,0.357,0.364,-0.007000000000000006,0.289,0.295,-0.006000000000000005
"Blue Jays","TOR","2018","6076","4132",0.244,0.247,-0.0030000000000000027,0.427,0.43,-0.0030000000000000027,0.319,0.325,-0.006000000000000005
"White Sox","CWS","2018","6070","3985",0.241,0.232,0.00899999999999998,0.401,0.385,0.016000000000000014,0.304,0.298,0.006000000000000005
"Pirates","PIT","2018","6065","4301",0.254,0.247,0.007000000000000006,0.407,0.397,0.009999999999999953,0.312,0.311,0.0010000000000000009
"Royals","KC","2018","6063","4259",0.245,0.246,-0.0010000000000000009,0.392,0.403,-0.01100000000000001,0.303,0.312,-0.009000000000000008
"Padres","SD","2018","6059","4034",0.235,0.227,0.00799999999999998,0.38,0.359,0.02100000000000002,0.294,0.288,0.006000000000000005
"Orioles","BAL","2018","6034","4143",0.239,0.234,0.004999999999999977,0.391,0.383,0.008000000000000007,0.299,0.299,0
"Tigers","DET","2018","6029","4208",0.241,0.242,-0.0010000000000000009,0.38,0.383,-0.0030000000000000027,0.295,0.302,-0.007000000000000006
