"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Red Sox","BOS","2019","6475","4452",0.269,0.26,0.009000000000000008,0.466,0.456,0.010000000000000009,0.338,0.336,0.0020000000000000018
"Astros","HOU","2019","6394","4514",0.274,0.258,0.016000000000000014,0.495,0.441,0.05399999999999999,0.355,0.338,0.01699999999999996
"Twins","MIN","2019","6392","4449",0.27,0.262,0.008000000000000007,0.494,0.486,0.008000000000000007,0.347,0.346,0.0010000000000000009
"D-backs","AZ","2019","6315","4344",0.252,0.246,0.006000000000000005,0.434,0.418,0.016000000000000014,0.319,0.317,0.0020000000000000018
"Brewers","MIL","2019","6309","4037",0.246,0.241,0.0050000000000000044,0.438,0.426,0.01200000000000001,0.324,0.323,0.0010000000000000009
"Braves","ATL","2019","6302","4153",0.258,0.254,0.0040000000000000036,0.452,0.456,-0.0040000000000000036,0.332,0.337,-0.0050000000000000044
"Mets","NYM","2019","6290","4295",0.257,0.252,0.0050000000000000044,0.442,0.427,0.015000000000000013,0.325,0.323,0.0020000000000000018
"Rockies","COL","2019","6288","4251",0.265,0.244,0.02100000000000002,0.456,0.406,0.04999999999999999,0.328,0.307,0.02100000000000002
"Rays","TB","2019","6285","4177",0.254,0.252,0.0020000000000000018,0.431,0.437,-0.006000000000000005,0.321,0.327,-0.006000000000000005
"Dodgers","LAD","2019","6282","4238",0.257,0.253,0.0040000000000000036,0.472,0.45,0.021999999999999964,0.338,0.334,0.0040000000000000036
"Athletics","OAK","2019","6269","4266",0.249,0.254,-0.0050000000000000044,0.448,0.455,-0.007000000000000006,0.327,0.337,-0.010000000000000009
"Nationals","WSH","2019","6267","4294",0.265,0.256,0.009000000000000008,0.454,0.449,0.0050000000000000044,0.336,0.336,0
"Phillies","PHI","2019","6261","4186",0.246,0.243,0.0030000000000000027,0.427,0.416,0.01100000000000001,0.314,0.315,-0.0010000000000000009
"Angels","LAA","2019","6251","4312",0.247,0.251,-0.0040000000000000036,0.422,0.42,0.0020000000000000018,0.316,0.324,-0.008000000000000007
"Yankees","NYY","2019","6245","4189",0.267,0.256,0.01100000000000001,0.49,0.464,0.025999999999999968,0.346,0.338,0.007999999999999952
"Pirates","PIT","2019","6228","4525",0.265,0.258,0.007000000000000006,0.42,0.411,0.009000000000000008,0.313,0.312,0.0010000000000000009
"Rangers","TEX","2019","6204","4023",0.248,0.243,0.0050000000000000044,0.431,0.425,0.006000000000000005,0.317,0.319,-0.0020000000000000018
"Mariners","SEA","2019","6199","3970",0.237,0.229,0.00799999999999998,0.424,0.4,0.023999999999999966,0.314,0.308,0.006000000000000005
"Cubs","CHC","2019","6195","4070",0.252,0.246,0.006000000000000005,0.452,0.431,0.02100000000000002,0.33,0.325,0.0050000000000000044
"Orioles","BAL","2019","6189","4220",0.246,0.242,0.0040000000000000036,0.415,0.401,0.013999999999999957,0.308,0.306,0.0020000000000000018
"Giants","SF","2019","6170","4210",0.239,0.24,-0.0010000000000000009,0.392,0.407,-0.014999999999999958,0.295,0.306,-0.01100000000000001
"Cardinals","STL","2019","6167","4108",0.245,0.242,0.0030000000000000027,0.415,0.421,-0.006000000000000005,0.314,0.32,-0.006000000000000005
"Guardians","CLE","2019","6124","4179",0.25,0.243,0.007000000000000006,0.432,0.415,0.017000000000000015,0.319,0.316,0.0030000000000000027
"Reds","CIN","2019","6100","4077",0.244,0.237,0.007000000000000006,0.422,0.396,0.025999999999999968,0.312,0.307,0.0050000000000000044
"Blue Jays","TOR","2019","6091","4021",0.236,0.238,-0.0020000000000000018,0.428,0.42,0.008000000000000007,0.31,0.313,-0.0030000000000000027
"Royals","KC","2019","6080","4157",0.247,0.24,0.007000000000000006,0.401,0.395,0.006000000000000005,0.302,0.303,-0.0010000000000000009
"Marlins","MIA","2019","6045","4107",0.241,0.239,0.0020000000000000018,0.375,0.384,-0.009000000000000008,0.288,0.296,-0.008000000000000007
"White Sox","CWS","2019","6042","4048",0.261,0.245,0.016000000000000014,0.414,0.408,0.006000000000000005,0.309,0.305,0.0040000000000000036
"Tigers","DET","2019","6039","4005",0.24,0.237,0.0030000000000000027,0.388,0.395,-0.007000000000000006,0.29,0.295,-0.0050000000000000044
"Padres","SD","2019","6019","3878",0.238,0.228,0.009999999999999981,0.41,0.391,0.01899999999999996,0.305,0.299,0.006000000000000005
