"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Dodgers","LAD","2022","6247","4208",0.257,0.245,0.01200000000000001,0.442,0.422,0.020000000000000018,0.337,0.329,0.008000000000000007
"Mets","NYM","2022","6176","4336",0.259,0.251,0.008000000000000007,0.412,0.403,0.008999999999999952,0.326,0.321,0.0050000000000000044
"Padres","SD","2022","6175","4204",0.241,0.237,0.0040000000000000036,0.382,0.373,0.009000000000000008,0.308,0.306,0.0020000000000000018
"Yankees","NYY","2022","6172","4086",0.241,0.243,-0.0020000000000000018,0.426,0.427,-0.0010000000000000009,0.327,0.33,-0.0030000000000000027
"Cardinals","STL","2022","6165","4320",0.252,0.244,0.008000000000000007,0.42,0.396,0.023999999999999966,0.326,0.317,0.009000000000000008
"Guardians","CLE","2022","6163","4510",0.254,0.245,0.009000000000000008,0.383,0.361,0.02200000000000002,0.306,0.298,0.008000000000000007
"Blue Jays","TOR","2022","6158","4354",0.264,0.257,0.007000000000000006,0.431,0.417,0.014000000000000012,0.331,0.326,0.0050000000000000044
"Red Sox","BOS","2022","6144","4228",0.258,0.249,0.009000000000000008,0.409,0.401,0.007999999999999952,0.319,0.316,0.0030000000000000027
"White Sox","CWS","2022","6123","4393",0.256,0.248,0.008000000000000007,0.387,0.395,-0.008000000000000007,0.306,0.308,-0.0020000000000000018
"Brewers","MIL","2022","6122","4001",0.235,0.235,0,0.409,0.395,0.013999999999999957,0.317,0.314,0.0030000000000000027
"Giants","SF","2022","6117","3989",0.234,0.228,0.006000000000000005,0.389,0.38,0.009000000000000008,0.31,0.308,0.0020000000000000018
"Mariners","SEA","2022","6117","4032",0.23,0.236,-0.005999999999999978,0.39,0.393,-0.0030000000000000027,0.31,0.317,-0.007000000000000006
"Twins","MIN","2022","6113","4179",0.248,0.246,0.0020000000000000018,0.401,0.419,-0.01799999999999996,0.315,0.323,-0.008000000000000007
"Rockies","COL","2022","6105","4260",0.254,0.244,0.010000000000000009,0.398,0.369,0.029000000000000026,0.312,0.301,0.01100000000000001
"Braves","ATL","2022","6082","4048",0.253,0.248,0.0050000000000000044,0.443,0.444,-0.0010000000000000009,0.33,0.33,0
"Phillies","PHI","2022","6077","4183",0.253,0.252,0.0010000000000000009,0.422,0.417,0.0050000000000000044,0.322,0.322,0
"Cubs","CHC","2022","6072","4032",0.238,0.231,0.0069999999999999785,0.387,0.367,0.020000000000000018,0.307,0.3,0.007000000000000006
"Astros","HOU","2022","6054","4281",0.248,0.249,-0.0010000000000000009,0.424,0.412,0.01200000000000001,0.324,0.324,0
"Orioles","BAL","2022","6049","4094",0.236,0.238,-0.0020000000000000018,0.39,0.392,-0.0020000000000000018,0.305,0.31,-0.0050000000000000044
"Rangers","TEX","2022","6029","4080",0.239,0.235,0.0040000000000000036,0.395,0.389,0.006000000000000005,0.305,0.303,0.0020000000000000018
"D-backs","AZ","2022","6027","4091",0.23,0.227,0.0030000000000000027,0.385,0.362,0.02300000000000002,0.303,0.297,0.006000000000000005
"Royals","KC","2022","6010","4214",0.244,0.243,0.0010000000000000009,0.38,0.392,-0.01200000000000001,0.302,0.309,-0.007000000000000006
"Rays","TB","2022","6008","4055",0.239,0.235,0.0040000000000000036,0.377,0.36,0.017000000000000015,0.302,0.297,0.0050000000000000044
"Nationals","WSH","2022","5998","4270",0.249,0.243,0.006000000000000005,0.377,0.373,0.0040000000000000036,0.303,0.302,0.0010000000000000009
"Reds","CIN","2022","5978","3995",0.235,0.228,0.0069999999999999785,0.372,0.354,0.018000000000000016,0.299,0.291,0.008000000000000007
"Angels","LAA","2022","5977","3934",0.233,0.231,0.0020000000000000018,0.39,0.387,0.0030000000000000027,0.3,0.3,0
"Marlins","MIA","2022","5949","4006",0.23,0.235,-0.004999999999999977,0.363,0.372,-0.009000000000000008,0.29,0.298,-0.008000000000000007
"Pirates","PIT","2022","5911","3885",0.222,0.224,-0.0020000000000000018,0.364,0.353,0.01100000000000001,0.289,0.288,0.0010000000000000009
"Tigers","DET","2022","5870","4019",0.231,0.233,-0.0020000000000000018,0.346,0.357,-0.01100000000000001,0.279,0.288,-0.008999999999999952
"Athletics","OAK","2022","5863","3980",0.216,0.224,-0.008000000000000007,0.346,0.351,-0.0050000000000000044,0.277,0.285,-0.007999999999999952
