"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Astros","HOU","2021","6291","4434",0.267,0.261,0.006000000000000005,0.444,0.436,0.008000000000000007,0.336,0.335,0.0010000000000000009
"Dodgers","LAD","2021","6239","4114",0.244,0.242,0.0020000000000000018,0.429,0.423,0.006000000000000005,0.327,0.328,-0.0010000000000000009
"Rays","TB","2021","6213","4012",0.243,0.233,0.009999999999999981,0.429,0.399,0.02999999999999997,0.322,0.313,0.009000000000000008
"Giants","SF","2021","6196","4067",0.249,0.24,0.009000000000000008,0.44,0.427,0.013000000000000012,0.329,0.324,0.0050000000000000044
"Reds","CIN","2021","6162","4078",0.249,0.244,0.0050000000000000044,0.431,0.421,0.010000000000000009,0.327,0.325,0.0020000000000000018
"D-backs","AZ","2021","6144","4084",0.236,0.229,0.0069999999999999785,0.382,0.36,0.02200000000000002,0.301,0.293,0.008000000000000007
"Red Sox","BOS","2021","6122","4161",0.261,0.255,0.006000000000000005,0.449,0.451,-0.0020000000000000018,0.333,0.335,-0.0020000000000000018
"Padres","SD","2021","6119","4142",0.242,0.245,-0.0030000000000000027,0.401,0.401,0,0.312,0.318,-0.006000000000000005
"Nationals","WSH","2021","6113","4151",0.258,0.255,0.0030000000000000027,0.417,0.413,0.0040000000000000036,0.326,0.328,-0.0020000000000000018
"Athletics","OAK","2021","6104","4112",0.238,0.244,-0.006000000000000005,0.406,0.423,-0.01699999999999996,0.313,0.326,-0.013000000000000012
"Brewers","MIL","2021","6099","3957",0.233,0.232,0.0010000000000000009,0.396,0.387,0.009000000000000008,0.31,0.31,0
"Phillies","PHI","2021","6089","4054",0.24,0.24,0,0.408,0.396,0.011999999999999955,0.313,0.313,0
"White Sox","CWS","2021","6084","4031",0.256,0.247,0.009000000000000008,0.422,0.408,0.014000000000000012,0.329,0.325,0.0040000000000000036
"Twins","MIN","2021","6078","4075",0.241,0.252,-0.01100000000000001,0.423,0.448,-0.025000000000000022,0.318,0.335,-0.017000000000000015
"Blue Jays","TOR","2021","6070","4303",0.266,0.261,0.0050000000000000044,0.466,0.456,0.010000000000000009,0.34,0.338,0.0020000000000000018
"Yankees","NYY","2021","6060","3893",0.237,0.244,-0.007000000000000006,0.407,0.425,-0.018000000000000016,0.317,0.33,-0.013000000000000012
"Braves","ATL","2021","6056","3985",0.244,0.249,-0.0050000000000000044,0.435,0.443,-0.008000000000000007,0.323,0.332,-0.009000000000000008
"Angels","LAA","2021","6016","4098",0.245,0.246,-0.0010000000000000009,0.407,0.404,0.002999999999999947,0.308,0.311,-0.0030000000000000027
"Mariners","SEA","2021","6010","3908",0.226,0.23,-0.0040000000000000036,0.385,0.393,-0.008000000000000007,0.3,0.308,-0.008000000000000007
"Rockies","COL","2021","6007","4102",0.249,0.239,0.010000000000000009,0.414,0.388,0.025999999999999968,0.315,0.306,0.009000000000000008
"Cardinals","STL","2021","6001","4094",0.244,0.246,-0.0020000000000000018,0.412,0.422,-0.010000000000000009,0.312,0.32,-0.008000000000000007
"Royals","KC","2021","5993","4252",0.249,0.247,0.0020000000000000018,0.396,0.407,-0.010999999999999954,0.304,0.311,-0.007000000000000006
"Orioles","BAL","2021","5983","4011",0.239,0.238,0.0010000000000000009,0.402,0.392,0.010000000000000009,0.305,0.305,0
"Pirates","PIT","2021","5983","4076",0.236,0.238,-0.0020000000000000018,0.364,0.364,0,0.294,0.299,-0.0050000000000000044
"Tigers","DET","2021","5979","3929",0.242,0.237,0.0050000000000000044,0.399,0.396,0.0030000000000000027,0.306,0.308,-0.0020000000000000018
"Cubs","CHC","2021","5972","3780",0.237,0.228,0.00899999999999998,0.407,0.383,0.023999999999999966,0.311,0.304,0.007000000000000006
"Rangers","TEX","2021","5943","4071",0.232,0.234,-0.0020000000000000018,0.375,0.376,-0.0010000000000000009,0.291,0.297,-0.006000000000000005
"Marlins","MIA","2021","5929","3856",0.233,0.227,0.006000000000000005,0.372,0.364,0.008000000000000007,0.291,0.29,0.0010000000000000009
"Guardians","CLE","2021","5907","4001",0.238,0.243,-0.0050000000000000044,0.407,0.402,0.004999999999999949,0.306,0.311,-0.0050000000000000044
"Mets","NYM","2021","5856","3875",0.239,0.237,0.0020000000000000018,0.391,0.392,-0.0010000000000000009,0.307,0.31,-0.0030000000000000027
