"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Dodgers","LAD","2023","6333","4239",0.257,0.256,0.0010000000000000009,0.455,0.446,0.009000000000000008,0.341,0.341,0
"Rangers","TEX","2023","6306","4236",0.263,0.256,0.007000000000000006,0.452,0.44,0.01200000000000001,0.34,0.335,0.0050000000000000044
"Astros","HOU","2023","6253","4380",0.259,0.257,0.0020000000000000018,0.437,0.435,0.0020000000000000018,0.332,0.333,-0.0010000000000000009
"Braves","ATL","2023","6249","4353",0.276,0.276,0,0.501,0.503,-0.0020000000000000018,0.359,0.363,-0.0040000000000000036
"Cubs","CHC","2023","6220","4180",0.254,0.252,0.0020000000000000018,0.421,0.411,0.010000000000000009,0.326,0.325,0.0010000000000000009
"Blue Jays","TOR","2023","6220","4295",0.256,0.253,0.0030000000000000027,0.417,0.415,0.0020000000000000018,0.324,0.324,0
"Twins","MIN","2023","6219","3879",0.243,0.238,0.0050000000000000044,0.428,0.423,0.0050000000000000044,0.327,0.325,0.0020000000000000018
"Phillies","PHI","2023","6207","4115",0.256,0.251,0.0050000000000000044,0.438,0.425,0.013000000000000012,0.329,0.326,0.0030000000000000027
"Cardinals","STL","2023","6204","4234",0.25,0.257,-0.007000000000000006,0.416,0.43,-0.014000000000000012,0.322,0.332,-0.010000000000000009
"Mariners","SEA","2023","6201","3938",0.242,0.244,-0.0020000000000000018,0.413,0.42,-0.007000000000000006,0.319,0.325,-0.006000000000000005
"Reds","CIN","2023","6195","4047",0.249,0.241,0.008000000000000007,0.42,0.387,0.032999999999999974,0.325,0.312,0.013000000000000012
"Padres","SD","2023","6180","4156",0.244,0.246,-0.0020000000000000018,0.413,0.418,-0.0050000000000000044,0.323,0.329,-0.006000000000000005
"Red Sox","BOS","2023","6174","4236",0.258,0.247,0.01100000000000001,0.424,0.413,0.01100000000000001,0.324,0.317,0.007000000000000006
"Rays","TB","2023","6164","4135",0.26,0.247,0.013000000000000012,0.445,0.415,0.030000000000000027,0.335,0.322,0.013000000000000012
"Angels","LAA","2023","6145","4019",0.245,0.238,0.007000000000000006,0.426,0.412,0.014000000000000012,0.32,0.315,0.0050000000000000044
"D-backs","AZ","2023","6124","4275",0.25,0.246,0.0040000000000000036,0.408,0.388,0.019999999999999962,0.317,0.311,0.006000000000000005
"Orioles","BAL","2023","6123","4193",0.255,0.251,0.0040000000000000036,0.421,0.413,0.008000000000000007,0.32,0.319,0.0010000000000000009
"Guardians","CLE","2023","6096","4428",0.25,0.258,-0.008000000000000007,0.381,0.387,-0.006000000000000005,0.302,0.309,-0.007000000000000006
"Giants","SF","2023","6095","3976",0.235,0.238,-0.0030000000000000027,0.383,0.399,-0.016000000000000014,0.304,0.313,-0.009000000000000008
"Pirates","PIT","2023","6089","4010",0.239,0.241,-0.0020000000000000018,0.392,0.391,0.0010000000000000009,0.308,0.312,-0.0040000000000000036
"Nationals","WSH","2023","6085","4431",0.254,0.249,0.0050000000000000044,0.396,0.386,0.010000000000000009,0.309,0.306,0.0030000000000000027
"Brewers","MIL","2023","6084","4020",0.24,0.238,0.0020000000000000018,0.385,0.383,0.0020000000000000018,0.309,0.31,-0.0010000000000000009
"Tigers","DET","2023","6080","4049",0.236,0.242,-0.006000000000000005,0.382,0.403,-0.02100000000000002,0.3,0.312,-0.01200000000000001
"Mets","NYM","2023","6056","4089",0.238,0.243,-0.0050000000000000044,0.407,0.415,-0.008000000000000007,0.315,0.322,-0.007000000000000006
"Rockies","COL","2023","6055","4005",0.249,0.24,0.009000000000000008,0.405,0.39,0.015000000000000013,0.31,0.304,0.006000000000000005
"Marlins","MIA","2023","6043","4270",0.259,0.257,0.0020000000000000018,0.405,0.412,-0.006999999999999951,0.312,0.316,-0.0040000000000000036
"Royals","KC","2023","5985","4104",0.244,0.253,-0.009000000000000008,0.398,0.421,-0.022999999999999965,0.303,0.318,-0.015000000000000013
"White Sox","CWS","2023","5980","4122",0.238,0.24,-0.0020000000000000018,0.384,0.384,0,0.292,0.295,-0.0030000000000000027
"Yankees","NYY","2023","5973","3941",0.227,0.243,-0.015999999999999986,0.397,0.425,-0.02799999999999997,0.304,0.323,-0.019000000000000017
"Athletics","OAK","2023","5966","3879",0.223,0.226,-0.0030000000000000027,0.37,0.373,-0.0030000000000000027,0.293,0.297,-0.0040000000000000036
