"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Cubs","CHC","2016","6335","4243",0.256,0.243,0.013000000000000012,0.429,0.409,0.020000000000000018,0.333,0.324,0.009000000000000008
"Red Sox","BOS","2016","6319","4558",0.282,0.256,0.025999999999999968,0.461,0.421,0.040000000000000036,0.346,0.325,0.020999999999999963
"Giants","SF","2016","6268","4546",0.258,0.254,0.0040000000000000036,0.398,0.394,0.0040000000000000036,0.315,0.316,-0.0010000000000000009
"Pirates","PIT","2016","6261","4285",0.257,0.244,0.013000000000000012,0.402,0.389,0.013000000000000012,0.318,0.313,0.0050000000000000044
"D-backs","AZ","2016","6259","4319",0.261,0.248,0.013000000000000012,0.432,0.41,0.02200000000000002,0.321,0.312,0.009000000000000008
"Twins","MIN","2016","6245","4262",0.251,0.239,0.01200000000000001,0.421,0.397,0.023999999999999966,0.317,0.308,0.009000000000000008
"Rockies","COL","2016","6236","4372",0.275,0.254,0.02100000000000002,0.457,0.413,0.04400000000000004,0.339,0.317,0.02200000000000002
"Blue Jays","TOR","2016","6232","4183",0.248,0.244,0.0040000000000000036,0.426,0.42,0.006000000000000005,0.327,0.326,0.0010000000000000009
"Mariners","SEA","2016","6226","4360",0.259,0.254,0.0050000000000000044,0.43,0.426,0.0040000000000000036,0.325,0.325,0
"Cardinals","STL","2016","6222","4308",0.255,0.249,0.006000000000000005,0.442,0.434,0.008000000000000007,0.329,0.326,0.0030000000000000027
"Astros","HOU","2016","6204","4151",0.247,0.244,0.0030000000000000027,0.417,0.415,0.0020000000000000018,0.317,0.318,-0.0010000000000000009
"Nationals","WSH","2016","6201","4349",0.256,0.248,0.008000000000000007,0.426,0.417,0.009000000000000008,0.322,0.321,0.0010000000000000009
"Braves","ATL","2016","6191","4390",0.255,0.251,0.0040000000000000036,0.384,0.389,-0.0050000000000000044,0.304,0.309,-0.0050000000000000044
"Dodgers","LAD","2016","6163","4259",0.249,0.251,-0.0020000000000000018,0.409,0.415,-0.006000000000000005,0.315,0.32,-0.0050000000000000044
"Guardians","CLE","2016","6155","4329",0.262,0.253,0.009000000000000008,0.43,0.413,0.017000000000000015,0.326,0.322,0.0040000000000000036
"Marlins","MIA","2016","6133","4419",0.263,0.254,0.009000000000000008,0.394,0.385,0.009000000000000008,0.309,0.306,0.0030000000000000027
"White Sox","CWS","2016","6131","4338",0.257,0.247,0.010000000000000009,0.41,0.384,0.025999999999999968,0.314,0.304,0.010000000000000009
"Tigers","DET","2016","6127","4278",0.267,0.264,0.0030000000000000027,0.438,0.458,-0.020000000000000018,0.33,0.339,-0.009000000000000008
"Mets","NYM","2016","6114","4233",0.246,0.244,0.0020000000000000018,0.417,0.406,0.010999999999999954,0.315,0.313,0.0020000000000000018
"Reds","CIN","2016","6093","4305",0.256,0.246,0.010000000000000009,0.408,0.382,0.025999999999999968,0.311,0.301,0.010000000000000009
"Orioles","BAL","2016","6089","4253",0.256,0.252,0.0040000000000000036,0.443,0.445,-0.0020000000000000018,0.326,0.327,-0.0010000000000000009
"Rangers","TEX","2016","6089","4363",0.262,0.253,0.009000000000000008,0.433,0.417,0.016000000000000014,0.324,0.318,0.006000000000000005
"Brewers","MIL","2016","6059","3879",0.244,0.233,0.010999999999999982,0.407,0.383,0.023999999999999966,0.315,0.306,0.009000000000000008
"Royals","KC","2016","6051","4400",0.261,0.25,0.01100000000000001,0.4,0.39,0.010000000000000009,0.307,0.302,0.0050000000000000044
"Yankees","NYY","2016","6048","4341",0.252,0.247,0.0050000000000000044,0.405,0.388,0.017000000000000015,0.311,0.305,0.006000000000000005
"Rays","TB","2016","6046","4045",0.243,0.236,0.007000000000000006,0.426,0.412,0.014000000000000012,0.315,0.309,0.006000000000000005
"Angels","LAA","2016","6038","4525",0.26,0.261,-0.0010000000000000009,0.405,0.413,-0.007999999999999952,0.314,0.322,-0.008000000000000007
"Athletics","OAK","2016","6022","4402",0.246,0.252,-0.006000000000000005,0.395,0.413,-0.01799999999999996,0.302,0.314,-0.01200000000000001
"Padres","SD","2016","5999","3992",0.235,0.232,0.002999999999999975,0.39,0.375,0.015000000000000013,0.297,0.293,0.0040000000000000036
"Phillies","PHI","2016","5992","4134",0.24,0.234,0.005999999999999978,0.384,0.369,0.015000000000000013,0.296,0.292,0.0040000000000000036
