"year","last_name, first_name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2017","Upton, Justin","457708","108","631","2692",32.35406280291748,1.27605279648331,-9.104534819873635,26.69759871755676,13.484946108750997
"2017","Escobar, Yunel","488862","108","381","1354",-3.479298948810783,-11.358487328276073,-5.400083640382181,8.04784969100087,5.2314223288466
"2017","Beckham, Tim","542921","110","573","2309",5.845646473425051,10.63977914866285,-29.020022981606274,14.187524982903396,10.038365323465001
"2017","Maxwell, Bruce","622194","133","252","1131",-5.521330151472594,-12.15943221522273,-8.089335675422047,9.983574225833513,4.743863513338684
"2017","Beltrán, Carlos","136860","117","505","1925",-11.975136408318795,-5.6501944076899235,-20.91092912707404,6.287242807016034,8.298744319429156
"2017","Gonzalez, Marwin","503556","117","512","2111",23.55416066221425,17.137808078956354,-21.92167260955057,15.769768043450174,12.568257149358395
"2017","Pederson, Joc","592626","119","321","1357",-0.9073825220614016,-15.415946963945885,-9.19886555766697,14.900119951954887,8.807310047596575
"2017","Broxton, Keon","542979","158","462","1915",-3.717944403141381,-4.6990300903678826,-23.849155952334197,15.734468769705545,9.095772869855113
"2017","Williams, Nick","608384","143","343","1212",5.265527771542296,8.171333509453662,-11.976701419580257,3.7508616320506,5.3200340496182825
"2017","Crawford, Brandon","543063","137","565","2163",-8.269889176005433,-13.261335220370567,-17.596169192953433,11.698999100527478,10.888616136791118
"2017","Piscotty, Stephen","572039","138","391","1595",0.07385382562701259,0.48487013819822655,-19.91488450499566,12.89799446955467,6.605873722869771
"2017","Espinosa, Danny","457787","139","290","1095",-23.818695738402806,-15.549511434728284,-18.897752289389047,5.718958071791527,4.909609913923027
"2017","Valbuena, Luis","472528","108","400","1701",-1.0624795932991011,4.53183286151846,-28.823370134561902,14.906644225611261,8.322413454133036
"2017","Cron, C.J.","543068","108","372","1405",-1.8482473240730701,4.584591545248133,-18.700375824829035,7.283800449874579,4.983736505633236
"2017","Moreland, Mitch","519048","111","566","2260",2.7872333694588334,0.11255870624139074,-26.954398475022824,16.418071160215423,13.211001978024814
"2017","Almora Jr., Albert","546991","112","321","1111",4.296879080757482,6.592671182846813,-7.18526370207825,1.3456844635320295,3.5437871364568885
"2017","Davidson, Matt","571602","145","442","1851",-12.765979302827235,4.174945671675,-31.18129360294612,7.669506234615701,6.57086239382813
"2017","Engel, Adam","641553","145","335","1319",-20.930726225283333,-11.621511993096332,-21.99443983620204,6.894878664966568,5.790346939048497
"2017","Moustakas, Mike","519058","118","589","2236",11.883162063718288,11.954933138318026,-17.090345181191672,7.626634597847442,9.391939508744544
"2017","Santana, Domingo","570267","158","603","2485",27.535220742935785,9.264398671825745,-15.980387324671094,20.963411501757808,13.287797894023447
"2017","Arcia, Orlando","606115","158","538","1978",-6.83621689789805,-3.7020964985801856,-19.530136496230526,8.255450981943634,8.140565114968922
"2017","Cabrera, Asdrúbal","452678","121","537","2058",5.593770287063969,-6.399101435399666,-17.585021479301865,16.678445957864096,12.899447243901408
"2017","Bell, Josh","605137","134","611","2539",4.855313060424023,-2.7202710232268785,-25.436731819408074,20.200555327293127,12.811760575765796
"2017","Haniger, Mitch","571745","136","410","1593",14.6645981696636,9.021795056306122,-11.52331821916199,8.98421103953174,8.181910292987746
"2017","Duda, Lucas","446263","139","485","2024",13.68627273897412,8.34552479207202,-19.186198370458786,15.033873891072178,9.49307242628868
"2017","Harper, Bryce","547180","120","475","1953",44.517973797406036,22.671711863280557,-9.906160959760086,20.512003819879403,11.240419074006278
"2017","Pujols, Albert","405395","108","630","2478",-21.38263958270174,-10.127386673879972,-33.294651543257785,11.912708588046197,10.126690046390003
"2017","Peralta, David","444482","109","574","2137",12.286943983995148,-3.654770671704859,-8.361567571833923,14.967540585029798,9.335741642504141
"2017","Flowers, Tyler","452095","144","368","1429",8.603045339452049,0.5506747770134693,-15.792285203903129,15.425643303904378,8.419012462437314
"2017","Ramirez, Hanley","434670","111","544","2079",3.4131143857116837,0.18656749651983973,-20.24458272102236,10.570378145393471,12.900751464820734
"2017","Zobrist, Ben","450314","112","494","1935",-5.339049865342828,-10.5767472938253,-19.728352347293924,17.258334690491623,7.7077150852847165
"2017","Rizzo, Anthony","519203","112","676","2711",31.2249627242003,1.5025193603777356,-5.498951169894845,19.48925937513698,15.732135158580709
"2017","Schebler, Scott","594988","113","526","1885",6.6505487089572695,6.1554016431717296,-19.818038810073066,9.537403636390659,10.775782239467944
"2017","Kipnis, Jason","543401","114","373","1448",-5.332439970155332,-17.094417931772497,-2.480971403808986,9.445421175233419,4.797528190192704
"2017","Saladino, Tyler","573135","145","281","1153",-23.764520977834138,-19.79922780076952,-18.555627436281963,9.283419300362793,5.306914958854596
"2017","Forsythe, Logan","523253","119","436","1909",-5.5227414689359655,-26.431293033833597,-7.709209965004467,19.70078558711117,8.916975942790893
"2017","Dietrich, Derek","518618","146","459","1831",0.4891818899452098,-8.65468399742376,-13.142988245206285,14.268562460692483,8.018291671882778
"2017","Vogt, Stephen","519390","158","302","1233",-2.0473771832478898,-2.9808992606978273,-10.397564204841686,6.606111846657357,4.724974435634278
"2017","Mauer, Joe","408045","142","592","2587",10.357184649721555,-17.67160125801294,-8.799897036538908,25.662677665128346,11.166005279145038
"2017","Kepler, Max","596146","142","565","2122",-4.138891674951517,-12.61428077806755,-16.017960875925855,14.671058497440468,9.822291481601384
"2017","Galvis, Freddy","520471","143","661","2640",-10.655951439720576,-11.577012390659931,-25.859904011957514,14.67525386859918,12.105711094297698
"2017","Margot, Manuel","622534","135","521","2003",-4.721730463396818,-10.825370027105913,-11.423811485349907,9.73131108383279,7.796139965226207
"2017","Souza Jr., Steven","519306","139","613","2487",18.848018087196035,-3.626829268006465,-14.143284620620994,21.488848281387888,15.129283694435628
"2017","Hechavarría, Adeiny","588751","139","346","1164",-7.759589705885658,0.04969993654295227,-13.732021664783492,2.5445259151219735,3.3782061072328964
"2017","Mazara, Nomar","608577","140","609","2441",-0.6958677503339414,-1.6042254357688475,-24.57222248932494,10.328052345740952,15.15252782901882
"2017","Zimmerman, Ryan","475582","120","568","2201",33.42281629544208,7.836510374594975,1.990243683634171,15.127808637387096,8.468253599825934
"2017","Jackson, Austin","457706","114","317","1364",11.851584583737038,-0.37578269609455694,-2.6079263997432287,9.440182259310395,5.395111420264441
"2017","Ramírez, José","608070","114","636","2568",47.761098236610714,8.375008609031594,0.8230140001628979,25.99259589373471,12.570479733681385
"2017","Reynolds, Mark","448602","115","593","2468",16.467290524687993,10.482665282800717,-22.118568867679514,16.627138353664762,11.476055755902058
"2017","Parra, Gerardo","467827","115","424","1535",4.966631740726848,-1.7636217049511564,-5.143928714585389,4.811592717213192,7.062589443050192
"2017","Hosmer, Eric","543333","118","665","2568",31.95395190939614,7.1858263051516165,-4.164365044780882,18.507346288853018,10.42514436017254
"2017","Merrifield, Whit","593160","118","626","2360",5.7407061806998545,-11.105165872539109,-1.5532567159721757,9.804161302826962,8.594967466384187
"2017","Grandal, Yasmani","518735","119","475","1891",4.469097492755927,0.41574066052397474,-14.759540095528981,12.694687446856395,6.118209480904515
"2017","Stanton, Giancarlo","519317","146","678","2731",58.10922871835346,30.470221750824866,-10.656048048592389,20.36037305416489,17.93468196195619
"2017","Grossman, Robbie","543257","142","454","1818",-1.0562597686938506,-18.109309905064404,-15.249826847382149,22.857046796012696,9.44583018773996
"2017","Joyce, Matt","459964","133","544","2261",4.257592763280113,-14.931791136869633,-15.559233700491909,21.643001453716884,13.105616146924763
"2017","Hernández, César","514917","143","575","2315",9.82890126996661,-4.935212651617476,-22.141898632807347,26.788411174481887,10.117601379909443
"2017","Span, Denard","452655","137","541","2023",0.4357920333900192,-14.282714583535412,-8.569645046855012,15.87821032463492,7.409941339145534
"2017","Barney, Darwin","446381","141","362","1330",-11.68374902060352,-15.256883753584672,-6.624322471999132,6.153567513618308,4.043889691361992
"2017","Werth, Jayson","150029","120","286","1295",-4.222533364919293,-9.813313958134517,-7.931622676645431,8.673788781073206,4.848614488787461
"2017","Maldonado, Martín","455117","108","470","1777",-16.89619763075584,-3.4173426881617472,-26.246776424700435,6.47716637055241,6.290755111553868
"2017","Lamb, Jake","571875","109","620","2550",10.213390556830909,0.8138105050786505,-26.899225776773317,24.285862160795876,12.012943667729635
"2017","Castillo, Welington","456078","110","362","1442",5.702512788531772,3.271388517699927,-9.495090967924012,7.755281486719336,4.170933752036515
"2017","Bradley Jr., Jackie","598265","111","537","2030",-3.1773640493836313,-15.804552260488345,-11.803007482262972,15.509188529114363,8.921007164253352
"2017","Duvall, Adam","594807","113","643","2481",2.5776529863252478,2.697056568873615,-23.712629777004548,12.844569879001305,10.748656315454824
"2017","Kinsler, Ian","435079","116","610","2407",-0.2912354910718179,-13.591568625921045,-16.916053341058593,19.41086072334577,10.805525752562051
"2017","Granderson, Curtis","434158","119","516","2345",13.706641173674386,-6.893217184523308,-13.869991117114433,21.993409024420433,12.476440450891678
"2017","Rupp, Cameron","519237","143","328","1369",-1.302701181663392,-1.2424569123904678,-15.18529328059384,9.114811917991435,6.01023709332947
"2017","Pence, Hunter","452254","137","537","2129",-5.0468728844810755,-7.974505152396171,-16.8972773013526,9.340738274266633,10.48417129500106
"2017","Difo, Wilmer","594694","120","353","1324",-11.104907469564953,-13.753119679876853,-10.17347379741368,7.057331442059977,5.764354565665613
"2017","Drury, Brandon","592273","109","475","1839",1.552996193856535,2.092367909665379,-14.53170362896297,5.842109435073274,8.150222478080867
"2017","Russell, Addison","608365","112","380","1483",-5.231983155903046,-4.7001356087537465,-14.100453462391389,6.19853394119446,7.370071974047613
"2017","Schwarber, Kyle","656941","112","485","2098",8.777903009201328,-5.3232297524929235,-16.872841758462528,19.972131851494936,11.001842668661824
"2017","Peraza, José","606299","113","516","1851",-23.47419310886042,-24.15161261695808,-11.475328775747224,5.166620972721252,6.9861273111236315
"2017","Rojas, Miguel","500743","146","299","1119",0.6222331883689596,-11.3533135923751,0.02604717496259125,7.069173234485548,4.880326371295922
"2017","Shaw, Travis","543768","158","600","2394",16.267081594298247,5.083215393608908,-14.014718486927285,14.600073153063386,10.59851153455326
"2017","Buxton, Byron","621439","142","505","1980",-6.104056320563559,-4.550220516369121,-16.376304118249912,8.65529590735671,6.167172406698781
"2017","Beltré, Adrian","134181","140","385","1573",16.019036022700256,-2.2441750509706657,1.6980442403764944,9.567202233446224,6.997964599848223
"2017","Murphy, Daniel","502517","120","577","2165",28.79098538529468,8.481156135406188,-0.88861541367602,10.96557347196968,10.232871191594958
