"team","team_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Braves","ATL","2020","2344","1509",0.268,0.261,0.007000000000000006,0.483,0.481,0.0020000000000000018,0.355,0.355,0
"Dodgers","LAD","2020","2316","1586",0.256,0.266,-0.010000000000000009,0.483,0.49,-0.007000000000000006,0.35,0.361,-0.01100000000000001
"Angels","LAA","2020","2308","1554",0.248,0.247,0.0010000000000000009,0.43,0.417,0.013000000000000012,0.329,0.33,-0.0010000000000000009
"Red Sox","BOS","2020","2304","1551",0.265,0.237,0.028000000000000025,0.445,0.407,0.038000000000000034,0.333,0.311,0.02200000000000002
"Mets","NYM","2020","2279","1539",0.272,0.254,0.018000000000000016,0.459,0.425,0.03400000000000003,0.347,0.332,0.014999999999999958
"White Sox","CWS","2020","2267","1490",0.261,0.244,0.017000000000000015,0.453,0.437,0.016000000000000014,0.334,0.326,0.008000000000000007
"Blue Jays","TOR","2020","2263","1537",0.255,0.255,0,0.441,0.438,0.0030000000000000027,0.329,0.332,-0.0030000000000000027
"Rays","TB","2020","2261","1381",0.238,0.228,0.009999999999999981,0.425,0.403,0.021999999999999964,0.325,0.317,0.008000000000000007
"Giants","SF","2020","2259","1537",0.263,0.251,0.01200000000000001,0.451,0.437,0.014000000000000012,0.337,0.33,0.007000000000000006
"Rockies","COL","2020","2257","1540",0.257,0.238,0.019000000000000017,0.405,0.379,0.026000000000000023,0.307,0.294,0.013000000000000012
"Guardians","CLE","2020","2247","1465",0.228,0.239,-0.010999999999999982,0.372,0.393,-0.02100000000000002,0.303,0.32,-0.017000000000000015
"Orioles","BAL","2020","2242","1537",0.258,0.241,0.017000000000000015,0.429,0.387,0.04199999999999998,0.323,0.304,0.019000000000000017
"D-backs","AZ","2020","2238","1560",0.241,0.247,-0.006000000000000005,0.391,0.394,-0.0030000000000000027,0.306,0.314,-0.008000000000000007
"Padres","SD","2020","2231","1519",0.257,0.27,-0.013000000000000012,0.466,0.48,-0.013999999999999957,0.341,0.357,-0.01599999999999996
"Astros","HOU","2020","2229","1571",0.24,0.246,-0.006000000000000005,0.408,0.398,0.009999999999999953,0.311,0.316,-0.0050000000000000044
"Phillies","PHI","2020","2223","1486",0.257,0.258,-0.0010000000000000009,0.439,0.446,-0.007000000000000006,0.336,0.342,-0.006000000000000005
"Nationals","WSH","2020","2218","1543",0.264,0.257,0.007000000000000006,0.433,0.42,0.013000000000000012,0.33,0.328,0.0020000000000000018
"Cubs","CHC","2020","2214","1364",0.22,0.231,-0.01100000000000001,0.387,0.39,-0.0030000000000000027,0.309,0.319,-0.010000000000000009
"Yankees","NYY","2020","2210","1447",0.247,0.257,-0.010000000000000009,0.447,0.441,0.006000000000000005,0.341,0.347,-0.00599999999999995
"Athletics","OAK","2020","2201","1400",0.225,0.234,-0.009000000000000008,0.396,0.41,-0.013999999999999957,0.314,0.326,-0.01200000000000001
"Royals","KC","2020","2200","1479",0.244,0.248,-0.0040000000000000036,0.402,0.4,0.0020000000000000018,0.308,0.313,-0.0050000000000000044
"Brewers","MIL","2020","2188","1348",0.223,0.24,-0.016999999999999987,0.389,0.407,-0.01799999999999996,0.307,0.324,-0.017000000000000015
"Mariners","SEA","2020","2181","1399",0.226,0.228,-0.0020000000000000018,0.37,0.381,-0.01100000000000001,0.298,0.308,-0.010000000000000009
"Twins","MIN","2020","2168","1425",0.242,0.242,0,0.427,0.425,0.0020000000000000018,0.319,0.322,-0.0030000000000000027
"Marlins","MIA","2020","2167","1413",0.244,0.236,0.008000000000000007,0.384,0.378,0.006000000000000005,0.308,0.305,0.0030000000000000027
"Rangers","TEX","2020","2147","1408",0.217,0.226,-0.009000000000000008,0.364,0.382,-0.018000000000000016,0.283,0.299,-0.016000000000000014
"Pirates","PIT","2020","2134","1433",0.22,0.234,-0.014000000000000012,0.357,0.38,-0.02300000000000002,0.279,0.298,-0.01899999999999996
"Reds","CIN","2020","2123","1315",0.212,0.232,-0.020000000000000018,0.403,0.418,-0.014999999999999958,0.312,0.329,-0.017000000000000015
"Tigers","DET","2020","2076","1341",0.245,0.241,0.0040000000000000036,0.397,0.398,-0.0010000000000000009,0.303,0.306,-0.0030000000000000027
"Cardinals","STL","2020","2011","1295",0.234,0.236,-0.001999999999999974,0.371,0.395,-0.02400000000000002,0.306,0.32,-0.014000000000000012
